Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2012,10,Alabama,1,9-0,21,Away,LSU,5,7-2,17,Home
2012,10,Oklahoma State,24,5-3,30,Away,Kansas State,2,9-0,44,Home
2012,10,Pittsburgh,99,4-5,26,Away,Notre Dame,3,9-0,29,Home
2012,10,Oregon,4,9-0,62,Away,USC,17,6-3,51,Home
2012,10,Ole Miss,99,5-4,10,Away,Georgia,6,8-1,37,Home
2012,10,Missouri,99,4-5,7,Away,Florida,7,8-1,14,Home
2012,10,Temple,99,3-5,17,Away,Louisville,10,9-0,45,Home
2012,10,Arizona State,99,5-4,26,Away,Oregon State,11,7-1,36,Home
2012,10,Oklahoma,12,6-2,35,Away,Iowa State,99,5-4,20,Home
2012,10,Clemson,13,8-1,56,Away,Duke,99,6-4,20,Home
2012,10,Stanford,14,7-2,48,Away,Colorado,99,1-8,0,Home
2012,10,Texas A&M,16,7-2,38,Away,Mississippi State,15,7-2,13,Home
2012,10,Texas,23,7-2,31,Away,Texas Tech,18,6-3,22,Home
2012,10,San Diego State,99,7-3,21,Away,Boise State,19,7-2,19,Home
2012,10,Nebraska,20,7-2,28,Away,Michigan State,99,5-5,24,Home
2012,10,TCU,99,6-3,39,Away,West Virginia,21,5-3,38,Home
2012,10,Arizona,22,5-4,10,Away,UCLA,99,7-2,66,Home
2012,10,Texas San Antonio,99,5-4,27,Away,Louisiana Tech,25,8-1,51,Home
