Team,AgentAttempts,VictimAttempts,Agent,Victim
Virginia Tech,30,99,14,23
USC,28,122,11,19
Temple,29,4,3,1
Arizona State,44,46,11,10
Hawaii,21,14,2,1
Texas,39,109,10,15
UAB,14,0,2,0
Tennessee,60,52,10,11
Northern Illinois,11,16,3,4
Michigan,41,89,18,18
Miami (OH),14,4,3,0
Ohio State,14,153,7,14
TCU,24,84,9,11
Oklahoma,20,154,11,23
Wyoming,24,0,2,0
Florida,41,113,15,19
Ball State,18,7,1,1
Iowa,33,56,15,12
Boise State,7,96,1,9
Georgia,27,120,11,22
Georgia Tech,48,36,17,12
Auburn,50,82,19,14
Clemson,36,90,17,17
Texas A&M,46,59,14,16
California,42,46,11,12
BYU,26,30,4,5
Boston College,34,27,11,7
Notre Dame,35,73,11,14
Pittsburgh,33,23,11,9
Western Michigan,12,7,1,0
Virginia,40,20,12,7
NC State,36,13,14,7
Kentucky,53,6,6,3
Louisville,18,75,6,13
Florida State,32,116,12,27
Miami,34,70,12,17
Washington State,50,23,8,4
Marshall,18,4,0,1
West Virginia,34,77,11,17
Arkansas,66,37,17,7
Southern Mississippi,14,5,2,3
LSU,25,146,11,26
Vanderbilt,54,1,7,1
Western Kentucky,12,0,1,0
Penn State,40,60,10,8
Louisiana Tech,23,3,2,1
Nebraska,36,78,10,17
Stanford,40,67,12,11
Oregon,22,114,11,22
SMU,26,0,3,0
Texas Tech,50,35,9,8
Baylor,46,51,7,9
Mississippi State,61,17,11,4
Buffalo,13,0,1,0
Rutgers,32,18,4,5
Appalachian State,9,0,1,0
Wisconsin,33,102,13,22
East Carolina,21,7,5,3
Oklahoma State,43,75,13,13
UCLA,52,46,16,13
Kansas State,36,44,8,8
Nevada,25,8,2,1
Troy,18,0,2,0
Wake Forest,37,13,4,5
Illinois,47,9,4,3
Missouri,41,53,8,13
Alabama,29,125,12,13
Louisiana Monroe,19,0,1,0
Eastern Washington,5,0,1,0
Kansas,44,20,4,4
South Florida,33,25,10,8
Washington,60,33,14,7
Bowling Green,16,7,4,2
Utah State,28,0,3,0
Utah,24,63,7,8
San José State,23,0,1,0
Navy,21,12,7,4
Maryland,49,10,12,4
North Carolina,42,20,10,8
Memphis,13,6,3,3
Ole Miss,56,34,14,11
Oregon State,52,16,11,5
New Mexico,19,0,1,0
UNLV,27,0,3,0
Michigan State,38,62,13,13
Tulsa,19,3,0,2
Kent State,17,2,1,1
South Carolina,53,53,17,14
Minnesota,45,17,5,7
UTEP,16,3,1,1
Toledo,15,6,3,3
Central Michigan,9,0,1,0
Northwestern,45,17,13,6
Ohio,11,1,0,1
Fresno State,29,22,2,6
Arizona,54,23,12,8
Houston,16,32,7,9
Indiana,49,0,7,0
Purdue,43,17,4,6
Colorado State,19,8,1,3
Colorado,54,15,5,4
UCF,19,6,2,0
Cincinnati,23,23,6,4
Air Force,22,4,1,2
Syracuse,47,0,6,0
Duke,35,6,5,2
Iowa State,59,6,6,2
Army,15,3,1,3
Connecticut,26,5,3,3
James Madison,4,0,1,0
San Diego State,24,3,3,1
South Alabama,3,0,1,0
North Dakota State,1,0,1,0
