Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2008,12,Ball State,14,10-0,31,Away,Miami (OH),99,2-8,16,Home
2008,12,Cincinnati,22,8-2,28,Away,Louisville,99,5-5,20,Home
2008,12,Mississippi State,99,3-7,7,Away,Alabama,1,11-0,32,Home
2008,12,Texas,3,10-1,35,Away,Kansas,99,6-5,7,Home
2008,12,South Carolina,25,7-4,6,Away,Florida,4,9-1,56,Home
2008,12,USC,6,9-1,45,Away,Stanford,99,5-6,23,Home
2008,12,Utah,7,11-0,63,Away,San Diego State,99,1-10,14,Home
2008,12,Indiana,99,3-8,7,Away,Penn State,8,10-1,34,Home
2008,12,Boise State,9,10-0,45,Away,Idaho,99,2-9,10,Home
2008,12,Georgia,10,9-2,17,Away,Auburn,99,5-6,13,Home
2008,12,Ohio State,11,9-2,30,Away,Illinois,99,5-6,20,Home
2008,12,Missouri,12,9-2,52,Away,Iowa State,99,2-9,20,Home
2008,12,Oklahoma State,13,9-2,30,Away,Colorado,99,5-6,17,Home
2008,12,North Carolina,16,7-3,15,Away,Maryland,99,7-3,17,Home
2008,12,BYU,17,10-1,38,Away,Air Force,99,8-3,24,Home
2008,12,Boston College,99,7-3,27,Away,Florida State,19,7-3,17,Home
2008,12,Troy,99,6-4,31,Away,LSU,20,7-3,40,Home
2008,12,Tulsa,23,8-2,30,Away,Houston,99,6-4,70,Home
2008,12,Wake Forest,24,6-4,17,Away,NC State,99,4-6,21,Home
