Team,AgentAttempts,VictimAttempts,Agent,Victim
Virginia Tech,28,91,14,21
USC,27,115,10,18
Temple,27,4,2,1
Arizona State,41,46,10,10
Hawaii,21,14,2,1
Texas,36,108,9,14
UAB,14,0,2,0
Tennessee,58,46,10,8
Northern Illinois,10,16,3,4
Michigan,40,80,18,17
Miami (OH),13,4,3,0
Ohio State,14,141,7,12
TCU,20,82,7,11
Oklahoma,19,144,10,23
Wyoming,23,0,1,0
Florida,36,108,13,18
Ball State,17,7,1,1
Iowa,28,56,13,12
Boise State,6,89,1,7
Georgia,25,115,10,22
Georgia Tech,45,36,16,12
Auburn,47,74,18,13
Clemson,36,78,17,16
Texas A&M,45,55,14,14
California,38,46,11,12
BYU,23,30,4,5
Boston College,31,27,11,7
Notre Dame,33,72,11,14
Pittsburgh,29,23,10,9
Western Michigan,11,0,1,0
Virginia,38,20,12,7
NC State,32,13,13,7
Kentucky,51,6,5,3
Louisville,17,64,6,11
Florida State,30,110,12,26
Miami,34,66,12,16
Washington State,47,17,7,4
Marshall,18,4,0,1
West Virginia,32,70,11,16
Arkansas,62,36,15,6
Southern Mississippi,14,5,2,3
LSU,23,139,10,23
Vanderbilt,49,1,5,1
Western Kentucky,12,0,1,0
Penn State,38,50,8,8
Louisiana Tech,23,3,2,1
Nebraska,35,72,10,15
Stanford,39,63,12,10
Oregon,21,113,10,21
SMU,23,0,2,0
Texas Tech,46,35,9,8
Baylor,43,48,7,7
Mississippi State,56,17,9,4
Buffalo,12,0,1,0
Rutgers,29,18,4,5
Appalachian State,8,0,1,0
Wisconsin,31,92,12,21
East Carolina,19,7,5,3
Oklahoma State,41,67,12,12
UCLA,49,45,16,12
Kansas State,34,41,8,7
Nevada,24,8,2,1
Troy,17,0,1,0
Wake Forest,34,13,4,5
Illinois,44,9,4,3
Missouri,38,53,8,13
Alabama,29,113,12,13
Louisiana Monroe,19,0,1,0
Eastern Washington,5,0,1,0
Kansas,41,20,4,4
South Florida,32,20,9,8
Washington,60,21,14,6
Bowling Green,16,7,4,2
Utah State,27,0,3,0
Utah,22,58,7,7
San José State,21,0,1,0
Navy,21,7,7,1
Maryland,45,10,11,4
North Carolina,40,17,9,7
Memphis,10,6,1,3
Ole Miss,53,32,13,9
Oregon State,48,16,11,5
New Mexico,19,0,1,0
UNLV,25,0,3,0
Michigan State,35,62,13,13
Tulsa,17,3,0,2
Kent State,14,2,1,1
South Carolina,51,53,16,14
Minnesota,43,17,5,7
UTEP,15,3,1,1
Toledo,13,6,3,3
Central Michigan,9,0,1,0
Northwestern,42,17,13,6
Ohio,10,1,0,1
Fresno State,27,22,2,6
Arizona,51,23,12,8
Houston,15,29,6,7
Colorado State,17,8,1,3
Colorado,52,11,5,4
UCF,19,6,2,0
Cincinnati,22,23,6,4
Air Force,19,4,0,2
Syracuse,43,0,5,0
Purdue,38,17,4,6
Duke,31,6,4,2
Iowa State,57,6,6,2
Army,13,3,0,3
Connecticut,26,5,3,3
James Madison,4,0,1,0
San Diego State,23,1,2,1
Indiana,44,0,7,0
North Dakota State,1,0,1,0
South Alabama,2,0,1,0
