id,name,state,abbrev,first_date,last_date,days,hours,hours_2014-01,hours_2014-02,hours_2014-03,hours_2014-04,hours_2014-05,hours_2014-06,hours_2014-07,hours_2014-08,hours_2014-09,hours_2014-10,hours_2014-11,hours_2014-12,hours_2015-01,hours_2015-02,hours_2015-03,hours_2015-04,hours_2015-05,hours_2015-06,hours_2015-07,hours_2015-08,hours_2015-09,hours_2015-10,hours_2015-11,hours_2015-12,hours_2016-01,hours_2016-02,hours_2016-03,hours_2016-04,hours_2016-05,hours_2016-06,hours_2016-07,hours_2016-08,hours_2016-09,hours_2016-10,hours_2016-11,hours_2016-12,hours_2017-01,hours_2017-02,hours_2017-03,hours_2017-04,hours_2017-05,hours_2017-06,hours_2017-07,hours_2017-08,hours_2017-09,hours_2017-10,hours_2017-11,hours_2017-12,hours_2018-01,hours_2018-02,hours_2018-03,hours_2018-04,hours_2018-05,hours_2018-06,hours_2018-07,hours_2018-08,hours_2018-09,hours_2018-10,hours_2018-11,hours_2018-12,hours_2019-01,hours_2019-02,hours_2019-03,hours_2019-04,hours_2019-05,hours_2019-06,hours_2019-07,hours_2019-08,hours_2019-09,hours_2019-10,hours_2019-11,hours_2019-12,hours_2020-01,hours_2020-02,hours_2020-03,hours_2020-04,hours_2020-05,hours_2020-06,hours_2020-07,hours_2020-08,hours_2020-09,hours_2020-10,hours_2020-11,hours_2020-12
20175,Seward,Kansas,KS,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28141,Tishomingo,Mississippi,MS,2019-06-30,2019-06-30,1.0,2.2815277777777765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765,2.2815277777777765
36101,Steuben,New York,NY,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50013,Grand Isle,Vermont,VT,2018-03-31,2018-03-31,1.0,2.611805555555617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617,2.611805555555617
05065,Izard,Arkansas,AR,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17123,Marshall,Illinois,IL,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19011,Benton,Iowa,IA,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27161,Waseca,Minnesota,MN,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39109,Miami,Ohio,OH,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46073,Jerauld,South Dakota,SD,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48173,Glasscock,Texas,TX,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51079,Greene,Virginia,VA,2020-07-05,2020-07-05,1.0,1.0449999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0449999999999997,1.0449999999999997,1.0449999999999997,1.0449999999999997,1.0449999999999997
72087,Loíza,Puerto Rico,PR,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72105,Naranjito,Puerto Rico,PR,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08089,Otero,Colorado,CO,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48111,Dallam,Texas,TX,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40073,Kingfisher,Oklahoma,OK,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05135,Sharp,Arkansas,AR,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20189,Stevens,Kansas,KS,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26101,Manistee,Michigan,MI,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
